channel_name,channel_id,appearances,latest_video,sample_titles,matched_queries,subscriber_count,video_count,avg_recent_views,days_since_last_upload,posting_cadence_days,view_sub_ratio,recency,cadence_score,engagement_score,freq_norm,final_score,youtube_url,name_norm,linkedin_url,li_post_appearances,has_linkedin,cross_source_bonus,combined_score
AI SEO Secrets,UC2i4IMW4U-g1KXVTTwekshg,1,2026-06-07,AI Content and SEO Reality Check: How to Rank in 2026,"""AI content workflow"" SEO",1,7,6.0,2,0.5,6.0,0.9666666666666668,0.9833333333333332,1.0,0.0,0.7383333333333333,https://youtube.com/channel/UC2i4IMW4U-g1KXVTTwekshg,ai seo secrets,https://www.linkedin.com/in/julie-su-33a1712a3,0.0,1,0.1,0.8383333333333333
CrowdReply,UCtAGndQhGoc-vcEVQQh6E7g,1,2026-05-26,Generative Engine Optimization: The Best AI Tool for GEO! 2026,"""GEO"" generative engine optimization",1450,242,548.2,2,0.75,0.3780689655172414,0.9666666666666668,0.975,1.0,0.0,0.7366666666666666,https://youtube.com/channel/UCtAGndQhGoc-vcEVQQh6E7g,crowdreply,https://pt.linkedin.com/in/dawoodkhan66,0.0,1,0.1,0.8366666666666666
Leveling Up with Eric Siu,UC3owDdLk7HL1dyQnkoBuRew,3,2025-12-30,"A Complete Guide to AI SEO in 2026 (AEO, GEO, LLMO) | How I Use AI to Automate 80% of My Marketing | 13 Strategies for Success | F*ck It, Here&#39;s My $100M SEO Strategy","""programmatic SEO"" AI, ""AI SEO"" content workflow 2025, ""how I use AI"" SEO content",199000,2632,769.4,1,0.0,0.0038663316582914,0.9833333333333332,1.0,0.0193316582914572,1.0,0.7016328308207704,https://youtube.com/channel/UC3owDdLk7HL1dyQnkoBuRew,leveling up with eric siu,https://www.linkedin.com/in/ericosiu,0.0,1,0.1,0.8016328308207704
Digital Amit,UCHsrABLPJxZJgsuai1YaRaA,1,2025-01-15,What is AEO (Answer Engine Optimization) | SEO vs AEO  #AEO #ConversationalAI #DigitalMarketing,"""AEO"" answer engine optimization SEO",110,102,74.6,8,4.75,0.6781818181818181,0.8666666666666667,0.8416666666666667,1.0,0.0,0.685,https://youtube.com/channel/UCHsrABLPJxZJgsuai1YaRaA,digital amit,https://in.linkedin.com/in/digital-amit-48a461397,0.0,1,0.1,0.785
Codefreex,UCtYVQNQuYNCpb6gxiMiRbFQ,1,2026-03-25,Programmatic SEO with AI 🚀 Build 1000+ Pages in Minutes (Step-by-Step with PageForge + WordPress),"""programmatic SEO"" AI",17,13,2503.6,6,10.5,147.2705882352941,0.9,0.65,1.0,0.0,0.655,https://youtube.com/channel/UCtYVQNQuYNCpb6gxiMiRbFQ,codefreex,https://www.linkedin.com/in/shubhamkrsinha,0.0,1,0.1,0.755
Julia McCoy,UCqzK60-oUOEq36uU9B1MMUg,2,2025-12-12,Answer Engine Optimization (AEO): How to Rank #1 in AI Overviews &amp; Dominate Search | AI SEO in 2025: The Complete Automation Playbook (That Nobody’s Talking About),"""AI SEO"" content workflow 2025, ""AEO"" answer engine optimization SEO",298000,718,12111.0,1,0.75,0.0406409395973154,0.9833333333333332,0.975,0.2032046979865771,0.5,0.6267947427293066,https://youtube.com/channel/UCqzK60-oUOEq36uU9B1MMUg,julia mccoy,https://www.linkedin.com/in/juliaemccoy,0.0,1,0.1,0.7267947427293066
AI SEO Show,UCpAQh8w-174WDpRXrvnwktg,1,2025-09-12,Ep. 1 - AI SEO Weekly September 12th 2025,"""content ops"" AI SEO",1450,27,13699.2,1,19.75,9.447724137931036,0.9833333333333332,0.3416666666666667,1.0,0.0,0.6141666666666666,https://youtube.com/channel/UCpAQh8w-174WDpRXrvnwktg,ai seo show,https://hr.linkedin.com/in/nedaperi%C5%A1i%C4%87,0.0,1,0.1,0.7141666666666666
Surfer Academy,UCmW0I6tx3Co4B6T2euHj6iw,2,2025-12-11,"Scale Your AI Content Workflow (and Dominate Search Results) - Live Surfer Demo 🚀 | AI Search, Perplexity &amp; SEO: The 2026 Strategy You’re Missing","""AI content workflow"" SEO",29800,324,958.0,1,1.75,0.0321476510067114,0.9833333333333332,0.9416666666666668,0.160738255033557,0.5,0.6073881431767338,https://youtube.com/channel/UCmW0I6tx3Co4B6T2euHj6iw,surfer academy,https://www.linkedin.com/in/lukasberc,0.0,1,0.1,0.7073881431767338
Neil Patel,UCl-Zrl0QhF66lu1aGXaTbfw,3,2025-10-30,SEO vs  AI | AI-SEO Is Changing Everything in 2026 | I Keep Getting Pitched On Programmatic SEO,"""programmatic SEO"" AI, ""AI SEO"" content workflow 2025",1580000,2405,5560.0,3,14.0,0.0035189873417721,0.95,0.5333333333333333,0.0175949367088607,1.0,0.5994451476793249,https://youtube.com/channel/UCl-Zrl0QhF66lu1aGXaTbfw,neil patel,https://www.linkedin.com/in/neilkpatel,0.0,1,0.1,0.6994451476793249
Behzad Hussain,UCWbEDbdZWnUtwCJ6gu9IecQ,1,2025-09-26,Semantic SEO Question-Answer Sessions with Behzad Hussain - Part 1 #semanticseo,"""AI content brief"" SEO process",1370,61,447.0,24,8.5,0.3262773722627737,0.6,0.7166666666666667,1.0,0.0,0.5933333333333333,https://youtube.com/channel/UCWbEDbdZWnUtwCJ6gu9IecQ,behzad hussain,https://pk.linkedin.com/in/behzad-hussain,0.0,1,0.1,0.6933333333333332
